tweet_ID	_golden	is_the_tweet_text_in_the_english_language	the_text_is_about_the_drugs_of_interest	genre_in_which_the_drug_is_mentioned_	sentiment_of_the_author_about_the_drug	theme_on_the_drug_ussage
201318115311751168	false	No	No		Neither positive nor negative (neutral)	
304039870878347264	false	Yes	No	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
297359309283684353	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
297355521835532288	false	No	No		Neither positive nor negative (neutral)	
200917932593774592	false	No	No		Neither positive nor negative (neutral)	
303869846381273089	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
302475152225075201	false	Yes	No		Neither positive nor negative (neutral)	
297358948594499584	false	No	No		Neither positive nor negative (neutral)	
297344599888887809	false	No	No		Neither positive nor negative (neutral)	
297167373746724864	false	No			Neither positive nor negative (neutral)	
301340685238419456	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
297358445257048065	false	Yes	No		Neither positive nor negative (neutral)	
297164207068172289	false	No			Neither positive nor negative (neutral)	
323548094681731072	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
297095466594754560	false	No	No		Neither positive nor negative (neutral)	
298695434187186177	false	Yes	No	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
297191415509811200	false	Yes	No		Neither positive nor negative (neutral)	
297064235802972162	false	No	No		Neither positive nor negative (neutral)	
249155171647627265	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
297008933929893888	false	No			Neither positive nor negative (neutral)	
245225662485512193	false	Yes	No		Neither positive nor negative (neutral)	
297123396465065984	false	No			Neither positive nor negative (neutral)	
323965675385286657	false	Yes	No	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
297085123457871872	false	No	No		Neither positive nor negative (neutral)	
297112239616446464	false	No	No		Neither positive nor negative (neutral)	
296843846103486465	false	No	No		Neither positive nor negative (neutral)	
268920078467227648	false	Yes	Yes	Info/resource (The writer is providing useful information like advices, tips or tricks)	Neither positive nor negative (neutral)	
297074377630027777	false	Yes	No		Neither positive nor negative (neutral)	
296836325712216064	false	No	No		Neither positive nor negative (neutral)	
267635086327951360	false	Yes	Yes	Info/resource (The writer is providing useful information like advices, tips or tricks)	Neither positive nor negative (neutral)	
297042517709426692	false	No	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296807754142724097	false	Yes	No	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
267138422047662080	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
261993848115441664	false	Yes	No		Neither positive nor negative (neutral)	
320784773964521472	false	Yes	No		Neither positive nor negative (neutral)	
296880361722486784	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
296937899197341698	false	No	No		Neither positive nor negative (neutral)	
296773948044099585	false	No	No		Neither positive nor negative (neutral)	
296761142817222656	false	No	No		Neither positive nor negative (neutral)	
296724534919307264	false	No	No		Neither positive nor negative (neutral)	
207413265310035968	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
296653575692640257	false	No	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296748769628782593	false	No	No		Neither positive nor negative (neutral)	
296697678815969281	false	No	No		Neither positive nor negative (neutral)	
296739491832557568	false	No	No		Neither positive nor negative (neutral)	
212791017353654272	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
248990448750833664	false	Yes	No		Neither positive nor negative (neutral)	
296737109480456193	false	No	No		Neither positive nor negative (neutral)	
296678145954824194	false	No	No		Neither positive nor negative (neutral)	
245708372349968385	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Positive about the drug	Craving (Possibly related to stress relief)
296735075234623489	false	No	No		Neither positive nor negative (neutral)	
206556620669460480	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
245571990335926272	false	Yes	No	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296734072787574784	false	No	No		Neither positive nor negative (neutral)	
296654376821456897	false	No	No		Neither positive nor negative (neutral)	
278277507810222080	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
296606477865586688	false	Yes	No		Neither positive nor negative (neutral)	
263653660045746176	false	Yes	No		Neither positive nor negative (neutral)	
296688233222385664	false	No			Neither positive nor negative (neutral)	
296599766958235650	false	Yes	No		Neither positive nor negative (neutral)	
231372459352403968	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
262068376732573696	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
296139609904148480	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
296635926053011456	false	No	No		Neither positive nor negative (neutral)	
296598798078197760	false	Yes	No		Neither positive nor negative (neutral)	
296106323903385600	false	Yes	No		Neither positive nor negative (neutral)	
296632138609082370	false	No	No		Neither positive nor negative (neutral)	
296596508013387776	false	Yes	No		Neither positive nor negative (neutral)	
272846026719780864	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296106021888335873	false	Yes	No		Neither positive nor negative (neutral)	
296596298302373888	false	No	No		Neither positive nor negative (neutral)	
269320940700172288	false	Yes	No		Neither positive nor negative (neutral)	
296599158796718080	false	No	No		Neither positive nor negative (neutral)	
296595937571262465	false	Yes	No		Neither positive nor negative (neutral)	
267854746247888896	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
296049033884073985	false	Yes	No		Neither positive nor negative (neutral)	
265613775745478656	false	Yes	No		Neither positive nor negative (neutral)	
296007862608596993	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296595002266644481	false	Yes	No		Neither positive nor negative (neutral)	
296003701854842880	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
296594545074900994	false	Yes	No		Neither positive nor negative (neutral)	
207266703753744384	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295949222035980289	false	Yes	No		Neither positive nor negative (neutral)	
296593697804525568	false	Yes	No		Neither positive nor negative (neutral)	
205486309781938176	false	Yes	No		Neither positive nor negative (neutral)	
295782683009765376	false	No	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
296593668452806656	false	No	No		Neither positive nor negative (neutral)	
295706229236449281	false	Yes	No		Neither positive nor negative (neutral)	
296592892506537985	false	Yes	No		Neither positive nor negative (neutral)	
202947422077460480	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295575891239632897	false	No			Neither positive nor negative (neutral)	
200175721149251584	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Negative about the drug	
295550926725455872	false	No	No	Cultural reference (The tweet mentions something specific to the popular culture.	Neither positive nor negative (neutral)	
295374451380477952	false	Yes	No	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
296544565752639489	false	No			Neither positive nor negative (neutral)	
296591340626649088	false	Yes	No		Neither positive nor negative (neutral)	
210696436482977792	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295339546416123904	false	Yes	No		Neither positive nor negative (neutral)	
296591130924032000	false	Yes	No		Neither positive nor negative (neutral)	
296393847620124672	false	No	No		Neither positive nor negative (neutral)	
296590958936612864	false	Yes	No		Neither positive nor negative (neutral)	
295166673948905473	false	No			Neither positive nor negative (neutral)	
296393184924278784	false	No	No		Neither positive nor negative (neutral)	
281230532677881856	false	Yes	No		Neither positive nor negative (neutral)	
294900985774608384	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
296374109212917761	false	No	No		Neither positive nor negative (neutral)	
296590531138568192	false	Yes	No		Neither positive nor negative (neutral)	
294825513451659264	false	Yes	No		Neither positive nor negative (neutral)	
296372192449527808	false	No			Neither positive nor negative (neutral)	
296590464008728576	false	Yes	No		Neither positive nor negative (neutral)	
274873192563224578	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Disgust (Drug users or usage as repulsive)
296590308823678976	false	Yes	No		Neither positive nor negative (neutral)	
241592782853111809	false	No			Neither positive nor negative (neutral)	
296589868417572865	false	Yes	No		Neither positive nor negative (neutral)	
238068430815772674	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
294659758756098050	false	No	No		Neither positive nor negative (neutral)	
296589742584233984	false	Yes	No		Neither positive nor negative (neutral)	
234343834333630464	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
294658093625798657	false	Yes	No		Neither positive nor negative (neutral)	
296358657422155776	false	No	No		Neither positive nor negative (neutral)	
296589579014791169	false	Yes	No		Neither positive nor negative (neutral)	
233409519575773184	false	Yes	No		Neither positive nor negative (neutral)	
294647922446970880	false	Yes	No		Neither positive nor negative (neutral)	
233073916514549760	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
294646823535140864	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
296352630207287297	false	No	No		Neither positive nor negative (neutral)	
296589314765230080	false	Yes	No		Neither positive nor negative (neutral)	
294626325971472384	false	No			Neither positive nor negative (neutral)	
294606709194907648	false	No	No		Neither positive nor negative (neutral)	
296269633302966272	false	No			Neither positive nor negative (neutral)	
294553454154752000	false	Yes	Yes	Info/resource (The writer is providing useful information like advices, tips or tricks)	Neither positive nor negative (neutral)	
296583132352753666	false	No			Neither positive nor negative (neutral)	
294355076120727552	false	No	No		Neither positive nor negative (neutral)	
296475271635271680	false	No	No		Neither positive nor negative (neutral)	
296160283628556288	false	No	No		Neither positive nor negative (neutral)	
296468334277435392	false	No	No		Neither positive nor negative (neutral)	
293278683525955584	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
296425669808766978	false	No			Neither positive nor negative (neutral)	
293261675614834688	false	Yes	No		Neither positive nor negative (neutral)	
296264440758808577	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
293243950465163265	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
296254810624237568	false	No	No		Neither positive nor negative (neutral)	
293228066635915266	false	No	No		Neither positive nor negative (neutral)	
296227107250520064	false	No	No		Neither positive nor negative (neutral)	
293208546345111553	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
296084198916235264	false	No	No		Neither positive nor negative (neutral)	
296075063726338048	false	No			Neither positive nor negative (neutral)	
293157862388137984	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
296056902410973184	false	No	No		Neither positive nor negative (neutral)	
293150975349379072	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
296037256274272256	false	No	No		Neither positive nor negative (neutral)	
295990770803032065	false	No	No		Neither positive nor negative (neutral)	
296031216505868288	false	No	No		Neither positive nor negative (neutral)	
293048063910629378	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295986391966429186	false	No	No		Neither positive nor negative (neutral)	
296024270709063680	false	No	No		Neither positive nor negative (neutral)	
296011528426119168	false	No	No		Neither positive nor negative (neutral)	
293007135867019264	false	No	No		Neither positive nor negative (neutral)	
295984202522955776	false	No	No		Neither positive nor negative (neutral)	
292999485494288387	false	No	Yes		Neither positive nor negative (neutral)	
295972244562272257	false	No	No		Neither positive nor negative (neutral)	
292939129438760960	false	No	No		Neither positive nor negative (neutral)	
295917647332257793	false	No	No		Neither positive nor negative (neutral)	
292832027869339649	false	No	No		Neither positive nor negative (neutral)	
295917068488953856	false	Yes	No		Neither positive nor negative (neutral)	
295868003541712896	false	No	No		Neither positive nor negative (neutral)	
292464015458844672	false	Yes	No		Neither positive nor negative (neutral)	
295928485405421568	false	No			Neither positive nor negative (neutral)	
295744988799700992	false	No	No		Neither positive nor negative (neutral)	
295914941972611073	false	No			Neither positive nor negative (neutral)	
295693780521213952	false	Yes	No		Neither positive nor negative (neutral)	
292281047331254272	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
295897560793624577	false	No	No		Neither positive nor negative (neutral)	
295605284913696768	false	No	No		Neither positive nor negative (neutral)	
291820806374322176	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
295598318174748672	false	No	No		Neither positive nor negative (neutral)	
291817740325490688	false	Yes	No		Neither positive nor negative (neutral)	
295596535582949376	false	No			Neither positive nor negative (neutral)	
291757724012802048	false	Yes	No		Neither positive nor negative (neutral)	
291736446325374976	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295826916152332288	false	No	No		Neither positive nor negative (neutral)	
291730347811549184	false	Yes	No		Neither positive nor negative (neutral)	
291647053120016385	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295807370687287296	false	No			Neither positive nor negative (neutral)	
295373004349775872	false	No	No		Neither positive nor negative (neutral)	
291619148419706880	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295372941460385792	false	No	No		Neither positive nor negative (neutral)	
295632019398995968	false	No			Neither positive nor negative (neutral)	
295365618180448258	false	No	No		Neither positive nor negative (neutral)	
291579801658064897	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295347746280443904	false	No	No		Neither positive nor negative (neutral)	
295340704018874368	false	No	No		Neither positive nor negative (neutral)	
291424838902480897	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
295568328917929984	false	No	No		Neither positive nor negative (neutral)	
295311729775226883	false	No	No		Neither positive nor negative (neutral)	
291411006100475904	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
295537223963660288	false	No			Neither positive nor negative (neutral)	
295243811406356480	false	No	No		Neither positive nor negative (neutral)	
291355767095840769	false	No	No		Neither positive nor negative (neutral)	
291355632878116864	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Positive about the drug	
295527224726155265	false	No	No		Neither positive nor negative (neutral)	
295181110747471872	false	No	No		Neither positive nor negative (neutral)	
290966598590812160	false	Yes	Yes	Other's Experience (The writer is reporting about some else's experience with the drug)	Neither positive nor negative (neutral)	
295461277696946180	false	No	No		Neither positive nor negative (neutral)	
295143139725938690	false	No	No		Neither positive nor negative (neutral)	
290666986868965376	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
295023438463123457	false	Yes	No	Other's Experience (The writer is reporting about some else's experience with the drug)	Neither positive nor negative (neutral)	
290543053586984960	false	Yes	Yes	News (The writer is reporting on some recent news)	Negative about the drug	
295009702117507072	false	No	No		Neither positive nor negative (neutral)	
290495674745753600	false	No	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
290430860166066177	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Negative about the drug	Disgust (Drug users or usage as repulsive)
294905553371668480	false	No	No		Neither positive nor negative (neutral)	
294734174114439168	false	No	No		Neither positive nor negative (neutral)	
290343232771072000	false	Yes	Yes	Other's Experience (The writer is reporting about some else's experience with the drug)	Neither positive nor negative (neutral)	
294705967436804096	false	No			Neither positive nor negative (neutral)	
290298286605234176	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
294651680534962176	false	No	No		Neither positive nor negative (neutral)	
290220415131987968	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
295278099862523904	false	No	No		Neither positive nor negative (neutral)	
294649273021255680	false	No	No		Neither positive nor negative (neutral)	
295252313243787264	false	No	No		Neither positive nor negative (neutral)	
294628452496195585	false	No	No		Neither positive nor negative (neutral)	
289854013313257473	false	Yes	No		Neither positive nor negative (neutral)	
294584819122311168	false	No			Neither positive nor negative (neutral)	
295246097297854465	false	No	No		Neither positive nor negative (neutral)	
294556281107255296	false	No	No		Neither positive nor negative (neutral)	
295238748881428480	false	No	No		Neither positive nor negative (neutral)	
294522902840221696	false	No	No		Neither positive nor negative (neutral)	
294515101426393089	false	No	No		Neither positive nor negative (neutral)	
289575784157437952	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
289173370082324480	false	No	Yes		Neither positive nor negative (neutral)	
295126895194951680	false	No			Neither positive nor negative (neutral)	
294464673292632065	false	No			Neither positive nor negative (neutral)	
289082034889043969	false	No			Neither positive nor negative (neutral)	
294399175049744384	false	No			Neither positive nor negative (neutral)	
289042499396333568	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
293562059096985600	false	No	No		Neither positive nor negative (neutral)	
288929056064413696	false	Yes	Yes	Marketing (The writer is trying to sell some product)	Neither positive nor negative (neutral)	
293538315112681472	false	No	No		Neither positive nor negative (neutral)	
288831823675535360	false	Yes	No	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
293445713289936896	false	No	No		Neither positive nor negative (neutral)	
293142150550544386	false	No	No		Neither positive nor negative (neutral)	
293118750499147778	false	No	No		Neither positive nor negative (neutral)	
288714391577325568	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
293113545372102656	false	No	No		Neither positive nor negative (neutral)	
288697211703918592	false	Yes	No		Neither positive nor negative (neutral)	
293080682991845376	false	No	No		Neither positive nor negative (neutral)	
288686562370265088	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	Craving (Possibly related to stress relief)
293056980988346368	false	No	No		Neither positive nor negative (neutral)	
288660050183077890	false	Yes	No		Neither positive nor negative (neutral)	
293042003141332992	false	No	No		Neither positive nor negative (neutral)	
288499836129525762	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
294914290115297280	false	No	No		Neither positive nor negative (neutral)	
293029739004829697	false	No	No		Neither positive nor negative (neutral)	
288485109944958976	false	Yes	No		Neither positive nor negative (neutral)	
293011057579012096	false	No	No		Neither positive nor negative (neutral)	
288453019308273664	false	No			Neither positive nor negative (neutral)	
294906119619481600	false	No	No		Neither positive nor negative (neutral)	
288414482055700480	false	No	No		Neither positive nor negative (neutral)	
288374413856997376	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
292843339924008962	false	No	No		Neither positive nor negative (neutral)	
288324224840523776	false	Yes	No	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
288237822173917186	false	No			Neither positive nor negative (neutral)	
292791305392758785	false	No	No		Neither positive nor negative (neutral)	
288209808404918272	false	Yes	No		Neither positive nor negative (neutral)	
288176220405899264	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
292719595389857792	false	No	No		Neither positive nor negative (neutral)	
288152971399798784	false	Yes	No		Neither positive nor negative (neutral)	
292693037044334593	false	No	No		Neither positive nor negative (neutral)	
288099796026265600	false	No	No		Neither positive nor negative (neutral)	
292675337068888065	false	No	No		Neither positive nor negative (neutral)	
288099271738261505	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
292642554393022467	false	No	No		Neither positive nor negative (neutral)	
292547117191409665	false	No	No		Neither positive nor negative (neutral)	
287938428572688384	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
294565173006569472	false	No	No		Neither positive nor negative (neutral)	
294562182467842048	false	No	No		Neither positive nor negative (neutral)	
292465676394840065	false	No	No		Neither positive nor negative (neutral)	
292439441040093184	false	No	No		Neither positive nor negative (neutral)	
286382287241740288	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
292326417117626369	false	No	No		Neither positive nor negative (neutral)	
285906921603600384	false	Yes	No		Neither positive nor negative (neutral)	
297356037734944768	false	Yes	No		Neither positive nor negative (neutral)	
297079188526092288	false	No	Yes	News (The writer is reporting on some recent news)	Neither positive nor negative (neutral)	
296278906909097984	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
300956700939272192	false	No	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
292856950436274176	false	Yes	No		Neither positive nor negative (neutral)	
298163315442589697	false	No	No		Neither positive nor negative (neutral)	
294510689010192384	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
323932989199360000	false	No	No		Neither positive nor negative (neutral)	
290710267887763456	false	Yes	Yes	Info/resource (The writer is providing useful information like advices, tips or tricks)	Neither positive nor negative (neutral)	
281982072288051201	false	Yes	Yes	Marketing (The writer is trying to sell some product)	Neither positive nor negative (neutral)	
319166322065944576	false	No	No		Neither positive nor negative (neutral)	
304656387433193472	false	No	No		Neither positive nor negative (neutral)	
205069530186260480	false	Yes	No		Neither positive nor negative (neutral)	
253380391879208960	false	No	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
301392984048549888	false	No	No		Neither positive nor negative (neutral)	
230441026077220865	false	No	No		Neither positive nor negative (neutral)	
269995653239820289	false	No	No		Neither positive nor negative (neutral)	
282041480393142273	false	No	No		Neither positive nor negative (neutral)	
269196659261599744	false	No	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
266085756597067776	false	No	No		Neither positive nor negative (neutral)	
205266884772380672	false	No	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
251039190106636289	false	No	No		Neither positive nor negative (neutral)	
200603695329714178	false	No			Neither positive nor negative (neutral)	
213832110723706880	false	No	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
258457722712899584	false	No	No		Neither positive nor negative (neutral)	
297851909308563456	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
275589269291147264	false	Yes	Yes		Neither positive nor negative (neutral)	
325042202222948357	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
324009413599965185	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
211948503340036096	false	No			Neither positive nor negative (neutral)	
225451976954093569	false	No	No		Neither positive nor negative (neutral)	
230813891318398977	false	No			Neither positive nor negative (neutral)	
251204252746276864	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	
320359689642713088	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
320262100771553280	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
245750139195637760	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Craving (Possibly related to stress relief)
263847143297671168	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
260779802661904385	false	Yes	Yes	News (The writer is reporting on some recent news)	Neither positive nor negative (neutral)	
274398166659502080	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
273201045205835777	false	No			Neither positive nor negative (neutral)	
267720159425339393	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
272990851846791168	false	No	No		Neither positive nor negative (neutral)	
267294538211663874	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
267987324011433985	false	Yes	Yes	Other's Experience (The writer is reporting about some else's experience with the drug)	Neither positive nor negative (neutral)	
207500519437107200	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	Pleasure (Drug usage as a pleasurable activity)
207413265310035968	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
215100682158604288	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
201101282398834688	false	No	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Neither positive nor negative (neutral)	
200125813117566977	false	Yes	Yes	News (The writer is reporting on some recent news)	Neither positive nor negative (neutral)	
211967943901323264	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
214758972211736576	false	Yes	Yes	Info/resource (The writer is providing useful information like advices, tips or tricks)	Neither positive nor negative (neutral)	
209520177468022784	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
276308772798992384	false	Yes	Yes	First-hand experience (The writer is taking the drug. He's telling a personal experience.)	Positive about the drug	Craving (Possibly related to stress relief)
225706365694382080	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	
237148368273539072	false	Yes	Yes	Opinion (The writer is giving his opinion,thoughts or point of view on something)	Neither positive nor negative (neutral)	Pleasure (Drug usage as a pleasurable activity)
225669250289922049	false	Yes	Yes	Humor (The tweet is generally funny)	Neither positive nor negative (neutral)	
